id,code,name,type,specific_rate,ad_valorem_rate,vehicle_subtype,pvp_min,pvp_max
ice_3011,3011,Cigarrillos Rubios,specific,0.16,0.0,,0.0,0.0
ice_3031,3031,Alcohol (Litros Puros),specific_content,10.41,0.0,,0.0,0.0
ice_3041,3041,Cerveza Industrial,specific_content,13.62,0.0,,0.0,0.0
ice_3043,3043,Cerveza Artesanal,specific_content,1.56,0.0,,0.0,0.0
ice_3680,3680,Fundas Plásticas,specific,0.08,0.0,,0.0,0.0
ice_3053,3053,Bebidas Azucaradas (g/100g),specific_content,0.18,0.0,,0.0,0.0
ice_3072,3072,Perfumes y Aguas de Tocador,ad_valorem,0.0,20.0,,0.0,0.0
ice_3650,3650,Videojuegos,ad_valorem,0.0,35.0,,0.0,0.0
ice_3610,3610,Armas de Fuego,ad_valorem,0.0,300.0,,0.0,0.0
ice_3073,3073,Vehículos Motorizados PVP hasta USD 20.000,ad_valorem,0.0,5.0,general,0.0,20000.0
ice_3686,3686,Vehículos Motorizados (excepto camionetas/rescate) PVP superior USD 20.000 hasta 30.000,ad_valorem,0.0,10.0,general,20000.0,30000.0
ice_3684,3684,Camionetas y Vehículos de Rescate PVP hasta USD 30.000,ad_valorem,0.0,5.0,pickup_rescue,0.0,30000.0
ice_3075,3075,Vehículos Motorizados PVP superior USD 30.000 hasta 40.000,ad_valorem,0.0,15.0,general,30000.0,40000.0
ice_3077,3077,Vehículos Motorizados PVP superior USD 40.000 hasta 50.000,ad_valorem,0.0,20.0,general,40000.0,50000.0
ice_3078,3078,Vehículos Motorizados PVP superior USD 50.000 hasta 60.000,ad_valorem,0.0,25.0,general,50000.0,60000.0
ice_3079,3079,Vehículos Motorizados PVP superior USD 60.000 hasta 70.000,ad_valorem,0.0,30.0,general,60000.0,70000.0
ice_3080,3080,Vehículos Motorizados PVP superior a USD 70.000,ad_valorem,0.0,35.0,general,70000.0,0.0
